amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type
AMR-A-11,T78,corridor,2026-01-01 11:46:04,2026-01-01 11:46:11,C2-12,C2-13,,,140.54,-85.162,2,137.16,-85.181,2,completed,24364.95,2026-01-01 11:46:04,segment_corridor,food_trolley,,C2-12,C2-13,,6.259,0.0,3.38,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-12"", ""to"": ""C2-13"", ""duration"": 6.25935815175, ""distance_m"": 3.380053401945, ""speed_factor"": 0.45, ""congestion_count"": 7, ""from_x"": 140.54, ""from_y"": -85.162, ""to_x"": 137.16, ""to_y"": -85.181, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_node,2026-01-01 11:46:11,2026-01-01 11:46:12,C2-14,C2-14,,,133.763,-85.18,2,133.763,-85.18,2,waiting,24371.209,2026-01-01 11:46:11,segment_wait,food_trolley,,C2-14,C2-14,,0.984,0.984,0.0,0.0,0.0,"{""type"": ""wait_for_node"", ""from"": ""C2-14"", ""to"": ""C2-14"", ""duration"": 0.9837212170205021, ""distance_m"": 0.0, ""congestion_count"": 7}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:46:12,2026-01-01 11:46:18,C2-13,C2-14,,,137.16,-85.181,2,133.763,-85.18,2,completed,24372.193,2026-01-01 11:46:12,segment_corridor,food_trolley,,C2-13,C2-14,,6.291,0.0,3.397,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-13"", ""to"": ""C2-14"", ""duration"": 6.2907410133123784, ""distance_m"": 3.397000147188684, ""speed_factor"": 0.45, ""congestion_count"": 7, ""from_x"": 137.16, ""from_y"": -85.181, ""to_x"": 133.763, ""to_y"": -85.18, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_edge,2026-01-01 11:46:18,2026-01-01 11:46:26,C2-14,C2-14,,,133.763,-85.18,2,133.763,-85.18,2,waiting,24378.484,2026-01-01 11:46:18,segment_wait,food_trolley,,C2-14,C2-14,,8.421,8.421,0.0,0.0,0.0,"{""type"": ""wait_for_edge"", ""from"": ""C2-14"", ""to"": ""C2-14"", ""duration"": 8.420920823951747, ""distance_m"": 0.0, ""congestion_count"": 7}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:46:26,2026-01-01 11:46:42,C2-14,C2-8,,,133.763,-85.18,2,133.702,-93.487,2,completed,24386.904,2026-01-01 11:46:26,segment_corridor,food_trolley,,C2-14,C2-8,,15.384,0.0,8.307,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-14"", ""to"": ""C2-8"", ""duration"": 15.383748082812756, ""distance_m"": 8.307223964718888, ""speed_factor"": 0.45, ""congestion_count"": 7, ""from_x"": 133.763, ""from_y"": -85.18, ""to_x"": 133.702, ""to_y"": -93.487, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_node,2026-01-01 11:46:42,2026-01-01 11:47:47,C2-7,C2-7,,,133.817,-102.025,2,133.817,-102.025,2,waiting,24402.288,2026-01-01 11:46:42,segment_wait,food_trolley,,C2-7,C2-7,,64.819,64.819,0.0,0.0,0.0,"{""type"": ""wait_for_node"", ""from"": ""C2-7"", ""to"": ""C2-7"", ""duration"": 64.81904352752827, ""distance_m"": 0.0, ""congestion_count"": 5}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:47:47,2026-01-01 11:48:02,C2-8,C2-7,,,133.702,-93.487,2,133.817,-102.025,2,completed,24467.107,2026-01-01 11:47:47,segment_corridor,food_trolley,,C2-8,C2-7,,15.813,0.0,8.539,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-8"", ""to"": ""C2-7"", ""duration"": 15.812545266069465, ""distance_m"": 8.53877444367751, ""speed_factor"": 0.45, ""congestion_count"": 5, ""from_x"": 133.702, ""from_y"": -93.487, ""to_x"": 133.817, ""to_y"": -102.025, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_edge,2026-01-01 11:48:02,2026-01-01 11:48:34,C2-7,C2-7,,,133.817,-102.025,2,133.817,-102.025,2,waiting,24482.92,2026-01-01 11:48:02,segment_wait,food_trolley,,C2-7,C2-7,,32.01,32.01,0.0,0.0,0.0,"{""type"": ""wait_for_edge"", ""from"": ""C2-7"", ""to"": ""C2-7"", ""duration"": 32.00953946492518, ""distance_m"": 0.0, ""congestion_count"": 6}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:48:34,2026-01-01 11:49:18,C2-7,C2-6,,,133.817,-102.025,2,133.869,-125.703,2,completed,24514.929,2026-01-01 11:48:34,segment_corridor,food_trolley,,C2-7,C2-6,,43.848,0.0,23.678,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-7"", ""to"": ""C2-6"", ""duration"": 43.84825388768209, ""distance_m"": 23.67805709934833, ""speed_factor"": 0.45, ""congestion_count"": 6, ""from_x"": 133.817, ""from_y"": -102.025, ""to_x"": 133.869, ""to_y"": -125.703, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
AMR-A-11,T78,wait_for_edge,2026-01-01 11:49:18,2026-01-01 11:49:22,C2-6,C2-6,,,133.869,-125.703,2,133.869,-125.703,2,waiting,24558.778,2026-01-01 11:49:18,segment_wait,food_trolley,,C2-6,C2-6,,3.549,3.549,0.0,0.0,0.0,"{""type"": ""wait_for_edge"", ""from"": ""C2-6"", ""to"": ""C2-6"", ""duration"": 3.548824223023985, ""distance_m"": 0.0, ""congestion_count"": 4}",,,,0.0,
AMR-A-11,T78,corridor,2026-01-01 11:49:22,2026-01-01 11:50:06,C2-6,C2-5,,,133.869,-125.703,2,134.284,-149.468,2,completed,24562.326,2026-01-01 11:49:22,segment_corridor,food_trolley,,C2-6,C2-5,,44.016,0.0,23.769,0.0,0.0,"{""type"": ""corridor"", ""from"": ""C2-6"", ""to"": ""C2-5"", ""duration"": 44.01596893471733, ""distance_m"": 23.768623224747355, ""speed_factor"": 0.45, ""congestion_count"": 4, ""from_x"": 133.869, ""from_y"": -125.703, ""to_x"": 134.284, ""to_y"": -149.468, ""from_floor"": 2, ""to_floor"": 2}",,,,0.0,
