amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,payload_instance_id,payload_slot,onboard_payloads,onboard_slots,multi_stop_task_ids,multi_stop_pickup_count,multi_stop_dropoff_count,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,energy_kwh,task_duration_sec,details,task_source,department_id,waste_stream,waste_volume_m3,container_type,pending_reason,tracked_item_exchange,exchange_mode,tracked_item_source_payload,tracked_items
,GEN_CATERING_D43_00032,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D43-CATERING,,,139.474,-129.443,2,139.981,-208.903,5,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D43_00032-000032,,[],[],[],0,0,,D28-CATERING,D43-CATERING,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D43,,0.0,Burlodge Trolley,,False,,,{}
,GEN_CATERING_D43_00033,,2026-01-01 08:00:00,2026-01-01 08:00:00,D28-CATERING,D43-CATERING_2,,,139.474,-129.443,2,135.811,-178.992,5,generated,10800.0,2026-01-01 08:00:00,task_generated,Burlodge Trolley,Burlodge_Trolley-GEN_CATERING_D43_00033-000033,,[],[],[],0,0,,D28-CATERING,D43-CATERING_2,,0.0,0.0,0.0,0.0,0.0,Generated scheduled catering task at 08:00,task_generation,D43,,0.0,Burlodge Trolley,,False,,,{}
,GEN_PHARMACY_D1_00034,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D1-PHARMACY,,,172.392,-97.072,0,65.0,-91.0,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00034-000034,,[],[],[],0,0,,D7-PHARMACY,D1-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D1,,0.0,Pharmacy Box,,False,,,{}
,GEN_PHARMACY_D2_00035,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D2-PHARMACY,,,172.392,-97.072,0,52.209,-55.578,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D2_00035-000035,,[],[],[],0,0,,D7-PHARMACY,D2-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D2,,0.0,Pharmacy Box,,False,,,{}
,GEN_PHARMACY_D3_00036,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D3-PHARMACY,,,172.392,-97.072,0,65.279,-12.892,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D3_00036-000036,,[],[],[],0,0,,D7-PHARMACY,D3-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D3,,0.0,Pharmacy Box,,False,,,{}
,GEN_PHARMACY_D4_00037,,2026-01-01 08:00:00,2026-01-01 08:00:00,D7-PHARMACY,D4-PHARMACY,,,172.392,-97.072,0,140.351,-171.506,0,generated,10800.0,2026-01-01 08:00:00,task_generated,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D4_00037-000037,,[],[],[],0,0,,D7-PHARMACY,D4-PHARMACY,,0.0,0.0,0.0,0.0,0.0,Generated scheduled pharmacy task at 08:00,task_generation,D4,,0.0,Pharmacy Box,,False,,,{}
AMR-A-1,GEN_PHARMACY_D1_00034,,2026-01-01 08:00:00,2026-01-01 08:00:01,,,AMR-CENTRE,D3-PHARMACY,,,,,,,start,10800.0,2026-01-01 08:00:00,multi_stop_task_assigned,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D1_00034-000034,,[],[],[],0,0,,D7-PHARMACY,D1-PHARMACY,,0.0,0.0,0.0,0.0,670.73,"Assigned multi-stop batch to AMR-A-1; slot=Slot 4; batch=GEN_PHARMACY_D1_00034,GEN_PHARMACY_D2_00035,GEN_PHARMACY_D3_00036,GEN_PHARMACY_D4_00037",task_generation,D1,,0.0,Pharmacy Box,,False,,,{}
AMR-A-1,GEN_PHARMACY_D2_00035,,2026-01-01 08:00:00,2026-01-01 08:00:01,,,AMR-CENTRE,D3-PHARMACY,,,,,,,start,10800.0,2026-01-01 08:00:00,multi_stop_task_assigned,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D2_00035-000035,,[],[],[],0,0,,D7-PHARMACY,D2-PHARMACY,,0.0,0.0,0.0,0.0,670.73,"Assigned multi-stop batch to AMR-A-1; slot=Slot 3; batch=GEN_PHARMACY_D1_00034,GEN_PHARMACY_D2_00035,GEN_PHARMACY_D3_00036,GEN_PHARMACY_D4_00037",task_generation,D2,,0.0,Pharmacy Box,,False,,,{}
AMR-A-1,GEN_PHARMACY_D3_00036,,2026-01-01 08:00:00,2026-01-01 08:00:01,,,AMR-CENTRE,D3-PHARMACY,,,,,,,start,10800.0,2026-01-01 08:00:00,multi_stop_task_assigned,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D3_00036-000036,,[],[],[],0,0,,D7-PHARMACY,D3-PHARMACY,,0.0,0.0,0.0,0.0,670.73,"Assigned multi-stop batch to AMR-A-1; slot=Slot 2; batch=GEN_PHARMACY_D1_00034,GEN_PHARMACY_D2_00035,GEN_PHARMACY_D3_00036,GEN_PHARMACY_D4_00037",task_generation,D3,,0.0,Pharmacy Box,,False,,,{}
AMR-A-1,GEN_PHARMACY_D4_00037,,2026-01-01 08:00:00,2026-01-01 08:00:01,,,AMR-CENTRE,D3-PHARMACY,,,,,,,start,10800.0,2026-01-01 08:00:00,multi_stop_task_assigned,Pharmacy Box,Pharmacy_Box-GEN_PHARMACY_D4_00037-000037,,[],[],[],0,0,,D7-PHARMACY,D4-PHARMACY,,0.0,0.0,0.0,0.0,670.73,"Assigned multi-stop batch to AMR-A-1; slot=Slot 1; batch=GEN_PHARMACY_D1_00034,GEN_PHARMACY_D2_00035,GEN_PHARMACY_D3_00036,GEN_PHARMACY_D4_00037",task_generation,D4,,0.0,Pharmacy Box,,False,,,{}
